game_pk,home_team,away_team,home_flg,away_flg
745727,New York Yankees,Atlanta Braves,0,0
746699,Cincinnati Reds,Boston Red Sox,0,0
746621,Cleveland Guardians,Toronto Blue Jays,1,1
746457,Detroit Tigers,Chicago White Sox,1,0
746051,Miami Marlins,Seattle Mariners,1,0
746373,Houston Astros,Baltimore Orioles,1,0
745165,St. Louis Cardinals,San Francisco Giants,1,0
745000,Texas Rangers,Kansas City Royals,0,0
746536,Colorado Rockies,Washington Nationals,0,0
745648,Oakland Athletics,Minnesota Twins,0,0
745396,San Diego Padres,Milwaukee Brewers,0,0
746862,Chicago Cubs,New York Mets,0,0
747021,Baltimore Orioles,Cleveland Guardians,1,1
746458,Detroit Tigers,Philadelphia Phillies,0,1
745078,Tampa Bay Rays,Seattle Mariners,0,0
746696,Cincinnati Reds,Pittsburgh Pirates,0,0
746941,Boston Red Sox,Toronto Blue Jays,0,0
745160,St. Louis Cardinals,Atlanta Braves,0,0
746780,Chicago White Sox,Los Angeles Dodgers,0,0
746298,Kansas City Royals,Miami Marlins,0,0
745974,Milwaukee Brewers,Texas Rangers,0,0
746218,Los Angeles Angels,Oakland Athletics,1,0
745397,San Diego Padres,Washington Nationals,0,0
745323,San Francisco Giants,Chicago Cubs,0,0
747022,Baltimore Orioles,Cleveland Guardians,1,1
746454,Detroit Tigers,Philadelphia Phillies,0,0
745076,Tampa Bay Rays,Seattle Mariners,1,0
746697,Cincinnati Reds,Pittsburgh Pirates,0,1
746943,Boston Red Sox,Toronto Blue Jays,0,0
745806,New York Mets,New York Yankees,1,0
746372,Houston Astros,Colorado Rockies,1,0
746775,Chicago White Sox,Los Angeles Dodgers,1,1
746293,Kansas City Royals,Miami Marlins,1,0
745973,Milwaukee Brewers,Texas Rangers,0,1
746213,Los Angeles Angels,Oakland Athletics,0,0
745399,San Diego Padres,Washington Nationals,1,0
747188,Arizona Diamondbacks,Minnesota Twins,1,0
745322,San Francisco Giants,Chicago Cubs,0,0
745073,Tampa Bay Rays,Seattle Mariners,0,0
746695,Cincinnati Reds,Pittsburgh Pirates,0,0
746456,Detroit Tigers,Philadelphia Phillies,1,1
745157,St. Louis Cardinals,Atlanta Braves,0,0
745158,St. Louis Cardinals,Atlanta Braves,0,0
746374,Houston Astros,Colorado Rockies,0,0
746291,Kansas City Royals,Miami Marlins,0,0
745975,Milwaukee Brewers,Texas Rangers,0,0
746212,Los Angeles Angels,Oakland Athletics,0,0
745400,San Diego Padres,Washington Nationals,0,0
747019,Baltimore Orioles,Cleveland Guardians,0,0
745808,New York Mets,New York Yankees,0,0
746777,Chicago White Sox,Los Angeles Dodgers,0,1
747184,Arizona Diamondbacks,Minnesota Twins,0,0
745325,San Francisco Giants,Chicago Cubs,0,0
747185,Arizona Diamondbacks,Minnesota Twins,0,0
745324,San Francisco Giants,Chicago Cubs,0,0
746816,Chicago White Sox,Atlanta Braves,1,0
745565,Philadelphia Phillies,Miami Marlins,1,0
747020,Baltimore Orioles,Texas Rangers,1,0
744919,Toronto Blue Jays,New York Yankees,1,0
745162,St. Louis Cardinals,Cincinnati Reds,0,1
746288,Kansas City Royals,Cleveland Guardians,0,0
746210,Los Angeles Angels,Detroit Tigers,0,0
745560,Philadelphia Phillies,Miami Marlins,0,0
745070,Tampa Bay Rays,Washington Nationals,0,0
747017,Baltimore Orioles,Texas Rangers,0,0
744922,Toronto Blue Jays,New York Yankees,1,0
745804,New York Mets,Houston Astros,1,1
746939,Boston Red Sox,San Diego Padres,0,0
746776,Chicago White Sox,Colorado Rockies,0,0
747105,Atlanta Braves,Pittsburgh Pirates,0,0
746292,Kansas City Royals,Cleveland Guardians,0,1
745970,Milwaukee Brewers,Chicago Cubs,0,0
745161,St. Louis Cardinals,Cincinnati Reds,0,0
746214,Los Angeles Angels,Detroit Tigers,1,0
747183,Arizona Diamondbacks,Oakland Athletics,1,0
745238,Seattle Mariners,Minnesota Twins,0,0
745319,San Francisco Giants,Los Angeles Dodgers,0,0
746778,Chicago White Sox,Colorado Rockies,0,0
745159,St. Louis Cardinals,Cincinnati Reds,0,0
744921,Toronto Blue Jays,New York Yankees,1,0
745559,Philadelphia Phillies,Miami Marlins,0,0
746289,Kansas City Royals,Cleveland Guardians,1,1
745801,New York Mets,Houston Astros,0,0
747186,Arizona Diamondbacks,Oakland Athletics,0,0
746940,Boston Red Sox,San Diego Padres,0,0
745071,Tampa Bay Rays,Washington Nationals,1,1
747104,Atlanta Braves,Pittsburgh Pirates,1,0
745972,Milwaukee Brewers,Chicago Cubs,0,1
745317,San Francisco Giants,Los Angeles Dodgers,1,0
747018,Baltimore Orioles,Texas Rangers,0,1
746211,Los Angeles Angels,Detroit Tigers,0,1
745239,Seattle Mariners,Minnesota Twins,0,0
747101,Atlanta Braves,Pittsburgh Pirates,0,0
746938,Boston Red Sox,San Diego Padres,1,0
745555,Philadelphia Phillies,Miami Marlins,1,1
744916,Toronto Blue Jays,New York Yankees,0,1
745802,New York Mets,Houston Astros,0,0
745072,Tampa Bay Rays,Washington Nationals,0,0
746290,Kansas City Royals,Cleveland Guardians,1,0
746779,Chicago White Sox,Colorado Rockies,0,0
745971,Milwaukee Brewers,Chicago Cubs,0,1
745154,St. Louis Cardinals,Cincinnati Reds,0,0
745320,San Francisco Giants,Los Angeles Dodgers,1,0
746209,Los Angeles Angels,Detroit Tigers,0,1
747182,Arizona Diamondbacks,Oakland Athletics,0,0
745243,Seattle Mariners,Minnesota Twins,0,1
747016,Baltimore Orioles,Texas Rangers,0,0
744914,Toronto Blue Jays,Houston Astros,0,0
744840,Washington Nationals,New York Mets,0,0
746535,Colorado Rockies,Milwaukee Brewers,0,0
745482,Pittsburgh Pirates,St. Louis Cardinals,0,0
746623,Cleveland Guardians,Chicago White Sox,0,1
746047,Miami Marlins,Boston Red Sox,0,1
744838,Washington Nationals,New York Mets,0,0
745730,New York Yankees,Cincinnati Reds,0,0
744913,Toronto Blue Jays,Houston Astros,1,0
747102,Atlanta Braves,San Francisco Giants,0,0
745886,Minnesota Twins,Detroit Tigers,0,0
744999,Texas Rangers,San Diego Padres,1,0
746860,Chicago Cubs,Philadelphia Phillies,0,0
746282,Kansas City Royals,Tampa Bay Rays,0,0
746537,Colorado Rockies,Milwaukee Brewers,0,0
745647,Oakland Athletics,Los Angeles Angels,0,0
