date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2024-04-14,744952,0,Colorado Rockies,Toronto Blue Jays,5,Toronto Blue Jays,Colorado Rockies,5,0
2024-04-14,745841,1,Kansas City Royals,New York Mets,2,New York Mets,Kansas City Royals,2,1
2024-04-14,745113,4,San Francisco Giants,Tampa Bay Rays,9,Tampa Bay Rays,San Francisco Giants,9,4
2024-04-14,746492,3,Minnesota Twins,Detroit Tigers,4,Detroit Tigers,Minnesota Twins,4,3
2024-04-14,746079,9,Atlanta Braves,Miami Marlins,7,Atlanta Braves,Miami Marlins,9,7
2024-04-14,746648,7,New York Yankees,Cleveland Guardians,8,Cleveland Guardians,New York Yankees,8,7
2024-04-14,746404,5,Texas Rangers,Houston Astros,8,Houston Astros,Texas Rangers,8,5
2024-04-14,746810,11,Cincinnati Reds,Chicago White Sox,4,Cincinnati Reds,Chicago White Sox,11,4
2024-04-14,745681,6,Washington Nationals,Oakland Athletics,7,Oakland Athletics,Washington Nationals,7,6
2024-04-14,745271,3,Chicago Cubs,Seattle Mariners,2,Chicago Cubs,Seattle Mariners,3,2
2024-04-14,747216,0,St. Louis Cardinals,Arizona Diamondbacks,5,Arizona Diamondbacks,St. Louis Cardinals,5,0
2024-04-14,746164,6,San Diego Padres,Los Angeles Dodgers,3,San Diego Padres,Los Angeles Dodgers,6,3
2024-04-15,746974,6,Cleveland Guardians,Boston Red Sox,0,Cleveland Guardians,Boston Red Sox,6,0
2024-04-15,747053,4,Minnesota Twins,Baltimore Orioles,7,Baltimore Orioles,Minnesota Twins,7,4
2024-04-15,746488,1,Texas Rangers,Detroit Tigers,0,Texas Rangers,Detroit Tigers,1,0
2024-04-15,745597,1,Colorado Rockies,Philadelphia Phillies,2,Philadelphia Phillies,Colorado Rockies,2,1
2024-04-15,746080,4,San Francisco Giants,Miami Marlins,3,San Francisco Giants,Miami Marlins,4,3
2024-04-15,745106,7,Los Angeles Angels,Tampa Bay Rays,3,Los Angeles Angels,Tampa Bay Rays,7,3
2024-04-15,744951,1,New York Yankees,Toronto Blue Jays,3,Toronto Blue Jays,New York Yankees,3,1
2024-04-15,745840,3,Pittsburgh Pirates,New York Mets,6,New York Mets,Pittsburgh Pirates,6,3
2024-04-15,746813,2,Kansas City Royals,Chicago White Sox,0,Kansas City Royals,Chicago White Sox,2,0
2024-04-15,746002,7,San Diego Padres,Milwaukee Brewers,3,San Diego Padres,Milwaukee Brewers,7,3
2024-04-15,746406,6,Atlanta Braves,Houston Astros,1,Atlanta Braves,Houston Astros,6,1
2024-04-15,747213,3,Chicago Cubs,Arizona Diamondbacks,2,Chicago Cubs,Arizona Diamondbacks,3,2
2024-04-15,745677,3,St. Louis Cardinals,Oakland Athletics,1,St. Louis Cardinals,Oakland Athletics,3,1
2024-04-15,745268,3,Cincinnati Reds,Seattle Mariners,9,Seattle Mariners,Cincinnati Reds,9,3
