date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score,first_scorer
2024-06-26,746942,4,Toronto Blue Jays,Boston Red Sox,1,Toronto Blue Jays,Boston Red Sox,4,1,Toronto Blue Jays
2024-06-26,745808,2,New York Yankees,New York Mets,12,New York Mets,New York Yankees,12,2,New York Mets
2024-06-26,746777,4,Los Angeles Dodgers,Chicago White Sox,0,Los Angeles Dodgers,Chicago White Sox,4,0,Los Angeles Dodgers
2024-06-26,747184,8,Minnesota Twins,Arizona Diamondbacks,3,Minnesota Twins,Arizona Diamondbacks,8,3,Minnesota Twins
2024-06-26,745325,3,Chicago Cubs,San Francisco Giants,4,San Francisco Giants,Chicago Cubs,4,3,Chicago Cubs
2024-06-27,747185,13,Minnesota Twins,Arizona Diamondbacks,6,Minnesota Twins,Arizona Diamondbacks,13,6,Minnesota Twins
2024-06-27,745324,5,Chicago Cubs,San Francisco Giants,3,Chicago Cubs,San Francisco Giants,5,3,Chicago Cubs
2024-06-27,746816,0,Atlanta Braves,Chicago White Sox,1,Chicago White Sox,Atlanta Braves,1,0,Chicago White Sox
2024-06-27,745565,7,Miami Marlins,Philadelphia Phillies,4,Miami Marlins,Philadelphia Phillies,7,4,Philadelphia Phillies
2024-06-27,747020,2,Texas Rangers,Baltimore Orioles,11,Baltimore Orioles,Texas Rangers,11,2,Baltimore Orioles
2024-06-27,744919,2,New York Yankees,Toronto Blue Jays,9,Toronto Blue Jays,New York Yankees,9,2,Toronto Blue Jays
2024-06-27,745162,11,Cincinnati Reds,St. Louis Cardinals,4,Cincinnati Reds,St. Louis Cardinals,11,4,Cincinnati Reds
2024-06-27,746288,1,Cleveland Guardians,Kansas City Royals,2,Kansas City Royals,Cleveland Guardians,2,1,Cleveland Guardians
2024-06-27,746210,0,Detroit Tigers,Los Angeles Angels,5,Los Angeles Angels,Detroit Tigers,5,0,Los Angeles Angels
2024-06-28,745560,0,Miami Marlins,Philadelphia Phillies,2,Philadelphia Phillies,Miami Marlins,2,0,Philadelphia Phillies
2024-06-28,745070,1,Washington Nationals,Tampa Bay Rays,3,Tampa Bay Rays,Washington Nationals,3,1,Tampa Bay Rays
2024-06-28,747017,1,Texas Rangers,Baltimore Orioles,2,Baltimore Orioles,Texas Rangers,2,1,Baltimore Orioles
2024-06-28,744922,16,New York Yankees,Toronto Blue Jays,5,New York Yankees,Toronto Blue Jays,16,5,Toronto Blue Jays
2024-06-28,745804,2,Houston Astros,New York Mets,7,New York Mets,Houston Astros,7,2,Houston Astros
2024-06-28,746939,9,San Diego Padres,Boston Red Sox,2,San Diego Padres,Boston Red Sox,9,2,Boston Red Sox
2024-06-28,746776,3,Colorado Rockies,Chicago White Sox,5,Chicago White Sox,Colorado Rockies,5,3,Chicago White Sox
2024-06-28,747105,1,Pittsburgh Pirates,Atlanta Braves,6,Atlanta Braves,Pittsburgh Pirates,6,1,Atlanta Braves
2024-06-28,746292,3,Cleveland Guardians,Kansas City Royals,10,Kansas City Royals,Cleveland Guardians,10,3,Cleveland Guardians
2024-06-28,745970,2,Chicago Cubs,Milwaukee Brewers,4,Milwaukee Brewers,Chicago Cubs,4,2,Chicago Cubs
2024-06-28,745161,0,Cincinnati Reds,St. Louis Cardinals,1,St. Louis Cardinals,Cincinnati Reds,1,0,St. Louis Cardinals
2024-06-28,746214,2,Detroit Tigers,Los Angeles Angels,5,Los Angeles Angels,Detroit Tigers,5,2,Los Angeles Angels
2024-06-28,747183,9,Oakland Athletics,Arizona Diamondbacks,4,Oakland Athletics,Arizona Diamondbacks,9,4,Arizona Diamondbacks
2024-06-28,745238,2,Minnesota Twins,Seattle Mariners,3,Seattle Mariners,Minnesota Twins,3,2,Seattle Mariners
2024-06-28,745319,3,Los Angeles Dodgers,San Francisco Giants,5,San Francisco Giants,Los Angeles Dodgers,5,3,Los Angeles Dodgers
2024-06-29,746778,3,Colorado Rockies,Chicago White Sox,11,Chicago White Sox,Colorado Rockies,11,3,Colorado Rockies
2024-06-29,745159,9,Cincinnati Reds,St. Louis Cardinals,4,Cincinnati Reds,St. Louis Cardinals,9,4,Cincinnati Reds
2024-06-29,744921,3,New York Yankees,Toronto Blue Jays,9,Toronto Blue Jays,New York Yankees,9,3,Toronto Blue Jays
2024-06-29,745559,3,Miami Marlins,Philadelphia Phillies,2,Miami Marlins,Philadelphia Phillies,3,2,Miami Marlins
2024-06-29,746289,7,Cleveland Guardians,Kansas City Royals,2,Cleveland Guardians,Kansas City Royals,7,2,Cleveland Guardians
2024-06-29,745801,9,Houston Astros,New York Mets,6,Houston Astros,New York Mets,9,6,Houston Astros
2024-06-29,747186,0,Oakland Athletics,Arizona Diamondbacks,3,Arizona Diamondbacks,Oakland Athletics,3,0,Arizona Diamondbacks
2024-06-29,746940,11,San Diego Padres,Boston Red Sox,1,San Diego Padres,Boston Red Sox,11,1,San Diego Padres
2024-06-29,745071,8,Washington Nationals,Tampa Bay Rays,1,Washington Nationals,Tampa Bay Rays,8,1,Washington Nationals
2024-06-29,747104,1,Pittsburgh Pirates,Atlanta Braves,2,Atlanta Braves,Pittsburgh Pirates,2,1,Atlanta Braves
2024-06-29,745972,5,Chicago Cubs,Milwaukee Brewers,3,Chicago Cubs,Milwaukee Brewers,5,3,Chicago Cubs
2024-06-29,745317,14,Los Angeles Dodgers,San Francisco Giants,7,Los Angeles Dodgers,San Francisco Giants,14,7,San Francisco Giants
2024-06-29,747018,5,Texas Rangers,Baltimore Orioles,6,Baltimore Orioles,Texas Rangers,6,5,Texas Rangers
2024-06-29,746211,5,Detroit Tigers,Los Angeles Angels,6,Los Angeles Angels,Detroit Tigers,6,5,Detroit Tigers
2024-06-29,745239,5,Minnesota Twins,Seattle Mariners,1,Minnesota Twins,Seattle Mariners,5,1,Minnesota Twins
2024-06-30,747101,4,Pittsburgh Pirates,Atlanta Braves,2,Pittsburgh Pirates,Atlanta Braves,4,2,Atlanta Braves
2024-06-30,746938,1,San Diego Padres,Boston Red Sox,4,Boston Red Sox,San Diego Padres,4,1,Boston Red Sox
2024-06-30,745555,6,Miami Marlins,Philadelphia Phillies,7,Philadelphia Phillies,Miami Marlins,7,6,Miami Marlins
2024-06-30,744916,8,New York Yankees,Toronto Blue Jays,1,New York Yankees,Toronto Blue Jays,8,1,New York Yankees
2024-06-30,745802,10,Houston Astros,New York Mets,5,Houston Astros,New York Mets,10,5,Houston Astros
2024-06-30,745072,0,Washington Nationals,Tampa Bay Rays,5,Tampa Bay Rays,Washington Nationals,5,0,Tampa Bay Rays
2024-06-30,746290,2,Cleveland Guardians,Kansas City Royals,6,Kansas City Royals,Cleveland Guardians,6,2,Kansas City Royals
2024-06-30,746779,5,Colorado Rockies,Chicago White Sox,4,Colorado Rockies,Chicago White Sox,5,4,Colorado Rockies
2024-06-30,745971,1,Chicago Cubs,Milwaukee Brewers,7,Milwaukee Brewers,Chicago Cubs,7,1,Chicago Cubs
